iter	Passed	Remaining
401	17628	26223
402	17671	26178
403	17718	26139
404	17760	26092
405	17809	26055
406	17856	26016
407	17901	25975
408	17948	25935
409	17996	25897
410	18045	25860
411	18094	25823
412	18140	25782
413	18188	25745
414	18226	25692
415	18272	25651
416	18316	25607
417	18357	25560
418	18398	25511
419	18441	25466
420	18487	25426
421	18536	25389
422	18579	25343
423	18625	25302
424	18666	25254
425	18712	25213
426	18758	25171
427	18805	25131
428	18848	25087
429	18891	25042
430	18938	25002
431	18986	24963
432	19027	24916
433	19075	24877
434	19119	24832
435	19165	24791
436	19213	24753
437	19262	24715
438	19307	24673
439	19355	24634
440	19401	24592
441	19449	24553
442	19492	24509
443	19539	24468
444	19581	24422
445	19626	24378
446	19673	24338
447	19723	24302
448	19768	24258
449	19815	24218
450	19858	24173
451	19905	24133
452	19947	24086
453	19995	24047
454	20038	24001
455	20100	23979
456	20142	23933
457	20187	23890
458	20231	23846
459	20273	23799
460	20315	23752
461	20361	23710
462	20403	23664
463	20447	23620
464	20494	23579
465	20545	23543
466	20594	23505
467	20643	23466
468	20682	23416
469	20725	23370
470	20769	23327
471	20813	23282
472	20860	23241
473	20906	23200
474	20959	23165
475	21009	23128
476	21058	23088
477	21105	23048
478	21152	23007
479	21211	22978
480	21254	22933
481	21298	22888
482	21341	22843
483	21386	22800
484	21430	22756
485	21475	22712
486	21514	22662
487	21559	22619
488	21596	22568
489	21638	22521
490	21682	22477
491	21725	22432
492	21766	22384
493	21812	22342
494	21857	22299
495	21901	22254
496	21950	22215
497	21995	22172
498	22037	22126
499	22084	22084
500	22128	22040
501	22170	21993
502	22211	21946
503	22254	21901
504	22298	21857
505	22339	21809
506	22380	21762
507	22424	21718
508	22466	21671
509	22509	21626
510	22550	21579
511	22591	21532
512	22630	21483
513	22668	21433
514	22705	21382
515	22745	21334
516	22784	21286
517	22826	21240
518	22864	21189
519	22904	21142
520	22942	21092
521	22982	21045
522	23021	20996
523	23063	20951
524	23101	20901
525	23137	20850
526	23172	20798
527	23210	20748
528	23249	20700
529	23289	20653
530	23326	20603
531	23372	20560
532	23416	20516
533	23459	20471
534	23499	20424
535	23544	20381
536	23585	20335
537	23628	20290
538	23667	20242
539	23712	20199
540	23755	20154
541	23797	20109
542	23838	20062
543	23879	20016
544	23923	19973
545	23963	19925
546	23999	19875
547	24040	19828
548	24079	19780
549	24118	19733
550	24157	19685
551	24212	19650
552	24252	19603
553	24294	19558
554	24334	19511
555	24389	19476
556	24430	19430
557	24472	19385
558	24514	19339
559	24559	19296
560	24604	19254
561	24649	19210
562	24689	19163
563	24731	19118
564	24772	19072
565	24817	19029
566	24860	18985
567	24904	18941
568	24946	18896
569	24999	18859
570	25037	18810
571	25078	18764
572	25120	18720
573	25164	18676
574	25202	18627
575	25245	18583
576	25286	18537
577	25326	18490
578	25364	18442
579	25406	18398
580	25446	18351
581	25486	18304
582	25527	18259
583	25571	18215
584	25615	18171
585	25656	18125
586	25693	18077
587	25734	18031
588	25775	17986
589	25818	17941
590	25862	17897
591	25909	17856
592	25953	17813
593	25996	17768
594	26039	17724
595	26081	17679
596	26123	17634
597	26165	17589
598	26206	17544
599	26249	17499
600	26288	17452
601	26329	17407
602	26369	17360
603	26411	17316
604	26452	17270
605	26497	17227
606	26540	17183
607	26581	17137
608	26623	17093
609	26667	17049
610	26708	17004
611	26751	16960
612	26791	16914
613	26835	16870
614	26875	16824
615	26920	16781
616	26960	16735
617	27001	16690
618	27042	16645
619	27096	16607
620	27135	16561
621	27182	16519
622	27225	16474
623	27270	16432
624	27312	16387
625	27350	16340
626	27395	16297
627	27457	16264
628	27500	16220
629	27539	16174
630	27579	16128
631	27623	16084
632	27670	16042
633	27713	15998
634	27754	15953
635	27798	15909
636	27839	15864
637	27884	15821
638	27928	15777
639	27981	15739
640	28032	15699
641	28085	15661
642	28138	15622
643	28187	15581
644	28239	15542
645	28289	15502
646	28340	15462
647	28387	15420
648	28433	15377
649	28477	15334
650	28522	15291
651	28569	15248
652	28623	15210
653	28688	15177
654	28737	15136
655	28805	15105
656	28860	15067
657	28909	15025
658	28954	14982
659	28998	14938
660	29044	14895
661	29099	14857
662	29141	14812
663	29185	14768
664	29230	14725
665	29275	14681
666	29318	14637
667	29362	14593
668	29405	14549
669	29449	14505
670	29491	14460
671	29533	14414
672	29586	14375
673	29639	14336
674	29688	14294
675	29768	14267
676	29821	14227
677	29873	14187
678	29924	14146
679	29967	14102
680	30015	14060
681	30060	14016
682	30104	13972
683	30150	13929
684	30196	13885
685	30244	13843
686	30289	13800
687	30337	13757
688	30384	13714
689	30430	13671
690	30476	13628
691	30525	13586
692	30568	13541
693	30615	13498
694	30660	13455
695	30704	13411
696	30750	13367
697	30799	13325
698	30851	13284
699	30910	13247
700	30967	13208
701	31025	13170
702	31076	13129
703	31124	13086
704	31168	13042
705	31217	12999
706	31261	12955
707	31306	12911
708	31348	12866
709	31412	12830
710	31462	12788
711	31512	12746
712	31559	12703
713	31604	12659
714	31650	12616
715	31693	12571
716	31734	12525
717	31776	12480
718	31819	12435
719	31863	12391
720	31913	12349
721	31956	12304
722	32000	12260
723	32045	12216
724	32088	12171
725	32135	12128
726	32179	12083
727	32224	12039
728	32266	11994
729	32315	11952
730	32362	11909
731	32413	11867
732	32460	11823
733	32507	11780
