iter	Logloss
0	0.6554290517
1	0.6215788873
2	0.5922339317
3	0.5638863506
4	0.5377464223
5	0.515408609
6	0.4948314431
7	0.4774265841
8	0.4617347979
9	0.4471563084
10	0.4343731817
11	0.4219471799
12	0.4098116914
13	0.3993896268
14	0.3901517729
15	0.3819823753
16	0.375228998
17	0.368371184
18	0.361740124
19	0.3567522337
20	0.3515797467
21	0.3468293687
22	0.3425243089
23	0.3389207699
24	0.3352930569
25	0.332539802
26	0.329302336
27	0.3266904809
28	0.3243794923
29	0.322016544
30	0.3194758858
31	0.3174862124
32	0.315506636
33	0.3139302582
34	0.3122440371
35	0.3109350608
36	0.3096010139
37	0.3082058888
38	0.3070544756
39	0.3059511037
40	0.3048095111
41	0.3038955762
42	0.3030443969
43	0.3022199746
44	0.3014207606
45	0.3007280218
46	0.3000591741
47	0.2994839898
48	0.2991230976
49	0.29871294
50	0.2983144356
51	0.2977724415
52	0.2973723228
53	0.2966881019
54	0.2963569467
55	0.2957970373
56	0.2954512598
57	0.2947944561
58	0.2943434718
59	0.2940816249
60	0.2937147323
61	0.2934125808
62	0.2930928813
63	0.2928394851
64	0.2924498374
65	0.2921358433
66	0.2917639228
67	0.2917216785
68	0.291570091
69	0.2912981381
70	0.2909624346
71	0.2908031411
72	0.2905173997
73	0.2903092128
74	0.2902131064
75	0.289976419
76	0.2897516983
77	0.2895305523
78	0.2892581676
79	0.2891692026
80	0.2889618549
81	0.2888418393
82	0.2886942098
83	0.2885345001
84	0.2883756124
85	0.2882453441
86	0.2881765164
87	0.2879759627
88	0.2877839302
89	0.2876734187
90	0.2875192226
91	0.2873756588
92	0.2871774736
93	0.2870192246
94	0.2868555353
95	0.2867725269
96	0.2866122571
97	0.2864799491
98	0.2862605975
99	0.2861675727
100	0.2860467181
101	0.2859014888
102	0.2857305469
103	0.2855898103
104	0.2854939014
105	0.2853664214
106	0.2853101096
107	0.2852326824
108	0.2851093942
109	0.2850200909
110	0.2849012154
111	0.2848521854
112	0.2847392881
113	0.2845710453
114	0.2844676907
115	0.2844073203
116	0.2842683255
117	0.2841921663
118	0.2839439398
119	0.2838449658
120	0.283750353
121	0.2836854833
122	0.2836165967
123	0.2835687078
124	0.2834820186
125	0.2833900593
126	0.2833140699
127	0.283209088
128	0.2830574254
129	0.2829929293
130	0.2829805308
131	0.2829805296
132	0.2829262856
133	0.282803504
134	0.2826140804
135	0.2825531898
136	0.282393687
137	0.2823831888
138	0.2823354697
139	0.2822623605
140	0.2821504326
141	0.28203207
142	0.2819642996
143	0.2818485462
144	0.2817547974
145	0.2817105221
146	0.2816736988
147	0.281650571
148	0.2816185108
149	0.2815046334
150	0.2814794763
151	0.2814378504
152	0.2813935536
153	0.2813376259
154	0.2812769568
155	0.2811789916
156	0.2811117892
157	0.2810431725
158	0.2808931254
159	0.2807939049
160	0.2806098358
161	0.2805569642
162	0.2804909197
163	0.2804362243
164	0.2803312319
165	0.2803203282
166	0.2802183017
167	0.2801286011
168	0.2801251086
169	0.2800310441
170	0.2799830404
171	0.2798891793
172	0.2798318782
173	0.2797437828
174	0.2796598749
175	0.2796098506
176	0.2795480015
177	0.2794661598
178	0.2794233576
179	0.2793506444
180	0.2792648712
181	0.2791893764
182	0.2791706271
183	0.2790993649
184	0.2790577417
185	0.2789922765
186	0.2789149834
187	0.2788594642
188	0.278822375
189	0.2787311955
190	0.2786838547
191	0.2786310351
192	0.2786162096
193	0.2785317013
194	0.2785049588
195	0.2785011184
196	0.2783289997
197	0.2782952728
198	0.2782476809
199	0.2781774656
200	0.2781115587
201	0.2780032617
202	0.2779979118
203	0.2779373699
204	0.277894686
205	0.2778401792
206	0.2778026599
207	0.2777912488
208	0.2777162083
209	0.2776333026
210	0.277555206
211	0.2773958215
212	0.2773178496
213	0.2772783028
214	0.2772553142
215	0.2772219734
216	0.2771568409
217	0.2770529822
218	0.2769827534
219	0.276926609
220	0.2768420713
221	0.276799473
222	0.2767795715
223	0.2767251034
224	0.2766108089
225	0.2766045697
226	0.2765215741
227	0.2764572254
228	0.2764372781
229	0.2764147881
230	0.276366346
231	0.2763180936
232	0.276281602
233	0.2762332825
234	0.2761982722
235	0.2761276883
236	0.2760624568
237	0.2760058633
238	0.2759469024
239	0.2758779722
240	0.2757453424
241	0.2757069906
242	0.2756214252
243	0.2755871381
244	0.2755529541
245	0.2754561297
246	0.2753774014
247	0.2753083006
248	0.2751669134
249	0.2750398829
250	0.2749746103
251	0.2749207276
252	0.2748283995
253	0.2747521424
254	0.2746888791
255	0.2745597286
256	0.2744827064
257	0.2744091435
258	0.2743783464
259	0.2742953451
260	0.2741806787
261	0.2741514119
262	0.2741410846
263	0.2740036573
264	0.2739284557
265	0.2738736334
266	0.2738324623
267	0.2737463401
268	0.273746266
269	0.273704891
270	0.2736289667
271	0.273587644
272	0.2735668246
273	0.2734331699
274	0.2733640726
275	0.2733078178
276	0.2732245368
277	0.2731923256
278	0.2731534457
279	0.2731143089
280	0.2730511259
281	0.2729589233
282	0.2729145353
283	0.2727994763
284	0.2727080562
285	0.2726685673
286	0.2725893294
287	0.2725329461
288	0.2724494068
289	0.2723917219
290	0.2722851803
291	0.2721897536
292	0.2721329623
293	0.2720484586
294	0.2719970317
295	0.2719500333
296	0.271844036
297	0.2717967905
298	0.2717665998
299	0.2716413049
300	0.2716090624
301	0.2715662935
302	0.2715476204
303	0.2714643714
304	0.2714054481
305	0.2713530791
306	0.2713131421
307	0.2712200636
308	0.2711642006
309	0.2711362008
310	0.2710827782
311	0.2710059251
312	0.2709078412
313	0.2708104326
314	0.2707920456
315	0.2706752855
316	0.2706080435
317	0.2705318873
318	0.2704839741
319	0.2704137207
320	0.2703853053
321	0.2703114926
322	0.2702783066
323	0.2702138783
324	0.2701295796
325	0.2701078234
326	0.27005138
327	0.2699844464
328	0.269936681
329	0.2699056368
330	0.2698039824
331	0.2697690349
332	0.2696344071
333	0.2695394928
334	0.269508256
335	0.2693480317
336	0.2692705411
337	0.2692116761
338	0.2691481767
339	0.269080642
340	0.2690094767
341	0.2689632003
342	0.2689437902
343	0.2688871503
344	0.268805545
345	0.2686982973
346	0.2686772154
347	0.2686033309
348	0.268511339
349	0.2684268384
350	0.2684039468
351	0.2683848354
352	0.2683294204
353	0.2682986062
354	0.2681776025
355	0.2680776888
356	0.2680274251
357	0.2679737371
358	0.2679460677
359	0.2678574241
360	0.2678219477
361	0.2677895029
362	0.267760281
363	0.2677201598
364	0.2676373437
365	0.2676273666
366	0.267609819
367	0.2675201662
368	0.2674710087
369	0.2672956331
370	0.2672189189
371	0.267166441
372	0.267082111
373	0.2670064388
374	0.266947964
